user_id,timestamp,event_type,feature_name
U001,2024-04-01 10:30,signup,onboarding
U001,2024-04-01 10:35,login,dashboard
U001,2024-04-02 14:20,feature_use,reports
U001,2024-04-03 09:15,feature_use,reports
U002,2024-04-01 11:00,signup,onboarding
U002,2024-04-01 11:05,login,dashboard
U002,2024-04-02 15:30,feature_use,analytics
U003,2024-04-02 08:00,signup,onboarding
U003,2024-04-02 08:10,login,dashboard
U003,2024-04-02 08:15,feature_use,settings
U004,2024-04-02 12:00,signup,onboarding
U004,2024-04-02 12:05,login,dashboard
U005,2024-04-03 09:00,signup,onboarding
U005,2024-04-03 09:10,login,dashboard
U005,2024-04-03 09:20,feature_use,reports
U005,2024-04-04 10:00,feature_use,analytics
U006,2024-04-03 14:00,signup,onboarding
U006,2024-04-03 14:10,login,dashboard
U007,2024-04-04 08:30,signup,onboarding
U007,2024-04-04 08:40,login,dashboard
U007,2024-04-04 09:00,feature_use,reports
U007,2024-04-05 15:30,upgrade,premium
U008,2024-04-04 10:00,signup,onboarding
U008,2024-04-04 10:15,login,dashboard
U009,2024-04-05 11:00,signup,onboarding
U009,2024-04-05 11:10,login,dashboard
U010,2024-04-05 13:30,signup,onboarding
